centreline_id,lf_name,from_to,dir,datetime_bin,volume
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-10 20:30:00,38
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-11 13:15:00,59
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-07 07:45:00,35
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-11 13:00:00,49
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-10 20:45:00,41
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-11 12:45:00,42
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-07 07:30:00,39
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-11 08:00:00,119
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-10 21:00:00,45
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-11 07:45:00,74
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-07 07:15:00,18
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-11 07:30:00,67
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-10 21:15:00,32
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-11 07:15:00,58
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-07 07:00:00,21
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-11 07:00:00,53
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-10 21:30:00,31
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-11 06:45:00,46
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-07 06:45:00,21
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-11 06:30:00,40
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-10 21:45:00,38
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-11 06:15:00,31
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-07 06:30:00,18
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-11 06:00:00,19
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-10 22:00:00,37
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-11 05:45:00,25
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-07 06:15:00,18
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-11 05:30:00,16
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-10 22:15:00,26
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-11 05:15:00,13
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-07 06:00:00,15
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-11 05:00:00,6
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-10 22:30:00,34
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-11 04:45:00,7
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-07 05:45:00,14
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-11 03:00:00,11
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-10 22:45:00,27
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-11 03:15:00,5
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-07 05:30:00,13
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-11 03:30:00,10
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-10 23:00:00,23
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-11 03:45:00,8
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-07 05:15:00,12
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-11 15:15:00,52
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-10 23:15:00,26
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-11 15:30:00,53
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-07 05:00:00,5
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-11 15:45:00,68
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-10 23:30:00,33
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-11 16:00:00,67
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-07 04:45:00,14
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-11 16:15:00,69
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-10 23:45:00,27
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-11 16:30:00,71
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-07 04:30:00,9
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-11 16:45:00,79
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-10 00:00:00,34
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-11 17:00:00,75
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-07 04:15:00,10
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-11 14:45:00,66
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-10 00:15:00,28
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-11 17:15:00,80
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-07 04:00:00,11
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-11 15:00:00,59
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-10 00:30:00,25
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-11 17:30:00,84
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-07 03:45:00,15
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-11 17:45:00,82
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-10 00:45:00,24
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-11 18:00:00,78
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-07 03:30:00,20
1145014,King St E,Berkeley St to Parliament St,WB,2015-11-11 18:15:00,90
