,Weekday,Time of Day,Mean,Standard Error,Median,0.25 Quartile,0.75 Quartile
0,Weekday,Morning Peak Time,9.77,0.02,9.0,5.0,13.0
1,Weekday,Day Time,11.14,0.02,10.0,7.0,15.0
2,Weekday,Afternoon Peak Time,11.07,0.02,10.0,7.0,15.0
3,Weekday,Off Hours,11.21,0.02,10.0,6.0,15.0
4,Weekend,Morning Peak Time,13.32,0.06,11.0,9.0,18.0
5,Weekend,Day Time,11.73,0.04,10.0,7.0,15.0
6,Weekend,Afternoon Peak Time,11.4,0.06,10.0,7.0,15.0
7,Weekend,Off Hours,14.09,0.06,11.0,10.0,20.0
