,Weekday,Time of Day,Mean,Standard Error,Median,0.25 Quartile,0.75 Quartile
0,Weekday,Morning Peak Time,5.66,0.13,4,3.0,6.0
1,Weekday,Day Time,6.71,0.16,4,3.0,6.0
2,Weekday,Afternoon Peak Time,6.04,0.14,4,3.0,6.0
3,Weekday,Off Hours,7.26,0.15,5,3.0,7.0
4,Weekend,Morning Peak Time,7.49,0.46,5,4.0,6.0
5,Weekend,Day Time,7.26,0.41,4,3.0,6.0
6,Weekend,Afternoon Peak Time,7.54,0.5,5,4.0,7.0
7,Weekend,Off Hours,7.74,0.33,5,4.0,7.0
